date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:46	8280/8280	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	C:/Hindi_Website/hindi_website/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
14:24:46	5676/5676	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	C:/Hindi_Website/hindi_website/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
14:24:46	14808/14808	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/Hindi_Website/hindi_website/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
14:24:47	15764/15764	---M--	200	added ('OK')	application/octet-stream	date:Thu,%2023%20Feb%202023%2002:06:36%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/Hindi_Website/hindi_website/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
14:24:47	990/990	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202023%2002:05:15%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/Hindi_Website/hindi_website/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
14:24:48	50234/50234	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/Hindi_Website/hindi_website/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
14:24:49	600319/600319	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2011:25:34%20GMT	https://www.classcentral.com/rankings	C:/Hindi_Website/hindi_website/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
14:24:50	593031/593031	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2011:25:35%20GMT	https://www.classcentral.com/collections	C:/Hindi_Website/hindi_website/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
14:24:51	575582/575582	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2011:25:36%20GMT	https://www.classcentral.com/subjects	C:/Hindi_Website/hindi_website/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
14:24:53	892043/892043	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2011:25:37%20GMT	https://www.classcentral.com/subject/cs	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
14:24:53	7720/7720	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2024%20Feb%202023%2011:25:38%20GMT	https://www.classcentral.com/subject/maths	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/maths	(from https://www.classcentral.com/)
14:24:54	847674/847674	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2011:25:38%20GMT	https://www.classcentral.com/subject/health	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/health.html	(from https://www.classcentral.com/)
14:24:54	7754/7754	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2024%20Feb%202023%2011:25:39%20GMT	https://www.classcentral.com/subject/business	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/business	(from https://www.classcentral.com/)
14:24:56	825345/825345	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2011:25:41%20GMT	https://www.classcentral.com/subject/humanities	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/humanities.html	(from https://www.classcentral.com/)
14:24:56	7959/7959	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2024%20Feb%202023%2011:25:41%20GMT	https://www.classcentral.com/subject/engineering	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/engineering.2c.delayed	(from https://www.classcentral.com/)
14:24:56	7730/7730	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2024%20Feb%202023%2011:25:42%20GMT	https://www.classcentral.com/subject/science	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/science	(from https://www.classcentral.com/)
14:24:57	7953/7953	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2024%20Feb%202023%2011:25:42%20GMT	https://www.classcentral.com/subject/education	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/education.2e.delayed	(from https://www.classcentral.com/)
14:24:57	7979/7979	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2024%20Feb%202023%2011:25:43%20GMT	https://www.classcentral.com/subject/social-sciences	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/social-sciences.2f.delayed	(from https://www.classcentral.com/)
14:24:59	7987/7987	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2024%20Feb%202023%2011:25:44%20GMT	https://www.classcentral.com/subject/data-science	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/data-science.31.delayed	(from https://www.classcentral.com/)
14:25:00	822512/822512	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2011:25:44%20GMT	https://www.classcentral.com/subject/art-and-design	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/art-and-design.html	(from https://www.classcentral.com/)
14:25:00	8155/8155	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2024%20Feb%202023%2011:25:45%20GMT	https://www.classcentral.com/subject/programming-and-software-development	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/programming-and-software-development.32.delayed	(from https://www.classcentral.com/)
14:25:00	7827/7827	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2024%20Feb%202023%2011:25:46%20GMT	https://www.classcentral.com/subject/personal-development	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/personal-development	(from https://www.classcentral.com/)
14:25:00	7943/7943	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Fri,%2024%20Feb%202023%2011:25:46%20GMT	https://www.classcentral.com/subject/infosec	C:/Hindi_Website/hindi_website/www.classcentral.com/subject/infosec.34.delayed	(from https://www.classcentral.com/)
14:25:04	3026813/3026813	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2011:25:48%20GMT	https://www.classcentral.com/universities	C:/Hindi_Website/hindi_website/www.classcentral.com/universities.html	(from https://www.classcentral.com/)
14:25:04	169937/169937	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2014:21:15%20GMT	https://www.classcentral.com/report/	C:/Hindi_Website/hindi_website/www.classcentral.com/report/index.html	(from https://www.classcentral.com/)
14:25:05	838362/838362	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2011:25:49%20GMT	https://www.classcentral.com/collection/top-free-online-courses	C:/Hindi_Website/hindi_website/www.classcentral.com/collection/top-free-online-courses.html	(from https://www.classcentral.com/)
14:25:05	4282/4282	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2012:59:08%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=d9866ee3df3a50272132b746506802ee	C:/Hindi_Website/hindi_website/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-time3e68.png	(from https://www.classcentral.com/)
14:25:06	33057/33057	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2004:21:53%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-best-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=11c7448eb8908a8cc785e26ec27de650	C:/Hindi_Website/hindi_website/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-best-of-all-timec7ac.png	(from https://www.classcentral.com/)
14:25:06	4168/4168	---M--	200	added ('OK')	image/png	date:Fri,%2024%20Feb%202023%2009:55:31%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=6b9b3ca668420c3d807c332c51ee7f2c	C:/Hindi_Website/hindi_website/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time0931.png	(from https://www.classcentral.com/)
14:25:06	35437/35437	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202023%2012:04:56%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fbest-courses%2Fmini-banner-most-popular-of-all-time.png?auto=format&h=420&ixlib=php-3.3.1&s=8ddc221d6528da20924c85c064e17572	C:/Hindi_Website/hindi_website/ccweb.imgix.net/https_/www.classcentral.com/images/best-courses/mini-banner-most-popular-of-all-time45d9.png	(from https://www.classcentral.com/)
14:25:07	198592/198592	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2014:21:43%20GMT	https://www.classcentral.com/report/most-popular-online-courses/	C:/Hindi_Website/hindi_website/www.classcentral.com/report/most-popular-online-courses/index.html	(from https://www.classcentral.com/)
14:25:09	176747/176747	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2014:21:53%20GMT	https://www.classcentral.com/report/most-popular-courses-2022/	C:/Hindi_Website/hindi_website/www.classcentral.com/report/most-popular-courses-2022/index.html	(from https://www.classcentral.com/)
14:25:10	145331/145331	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2014:21:11%20GMT	https://www.classcentral.com/report/best-free-online-courses-2022/	C:/Hindi_Website/hindi_website/www.classcentral.com/report/best-free-online-courses-2022/index.html	(from https://www.classcentral.com/)
14:25:10	153480/153480	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2014:22:38%20GMT	https://www.classcentral.com/report/best-free-online-courses-2021/	C:/Hindi_Website/hindi_website/www.classcentral.com/report/best-free-online-courses-2021/index.html	(from https://www.classcentral.com/)
14:25:11	816659/816659	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Feb%202023%2011:25:52%20GMT	https://www.classcentral.com/collection/ivy-league-moocs	C:/Hindi_Website/hindi_website/www.classcentral.com/collection/ivy-league-moocs.html	(from https://www.classcentral.com/)
14:25:11	178591/178591	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202023%2014:22:42%20GMT	https://www.classcentral.com/report/100-most-popular-online-courses-2021/	C:/Hindi_Website/hindi_website/www.classcentral.com/report/100-most-popular-online-courses-2021/index.html	(from https://www.classcentral.com/)
